angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,median_brightness,sharpness,dynamic_range,snr,motion_magnitude,delta_response,delta_entropy,delta_gradient_energy,delta_sharpness,delta_motion_mag,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
-5.0,1.042,-4.717,0.0,0.0,0.244,0.15,7.207,0.006,0.44,0.435,1274.394,1.0,9.323,4.831,-0.014,-0.0,-0.0,-14.199,-0.01,14.969,0.167,0.409,0.034,0.674,-1.042,4.717
-4.9,1.057,-4.724,0.0,0.0,0.258,0.151,7.207,0.006,0.442,0.435,1288.592,1.0,9.318,4.841,-0.007,-0.001,-0.0,-61.662,0.015,14.985,0.168,0.414,0.035,0.674,-1.057,4.724
-4.8,1.113,-4.696,0.0,0.0,0.265,0.154,7.208,0.006,0.451,0.447,1350.255,1.0,9.317,4.826,-0.007,-0.0,0.0,40.9,0.017,14.931,0.168,0.419,0.035,0.675,-1.113,4.696
-4.7,1.11,-4.679,0.0,0.0,0.272,0.152,7.208,0.006,0.444,0.439,1309.355,1.0,9.316,4.809,-0.012,0.0,-0.0,-14.048,0.07,15.034,0.17,0.425,0.036,0.675,-1.11,4.679
-4.6,1.09,-4.612,0.0,0.0,0.284,0.152,7.208,0.006,0.445,0.439,1323.403,1.0,9.317,4.739,-0.011,0.001,-0.0,-2.96,-0.004,15.054,0.172,0.432,0.037,0.676,-1.09,4.612
-4.5,1.127,-4.607,0.0,0.0,0.296,0.154,7.206,0.006,0.449,0.443,1326.363,1.0,9.317,4.743,-0.008,0.002,0.0,51.118,-0.001,15.061,0.174,0.437,0.038,0.676,-1.127,4.607
-4.4,1.122,-4.609,0.0,0.0,0.304,0.152,7.205,0.006,0.443,0.439,1275.245,1.0,9.323,4.744,-0.014,-0.002,-0.0,-16.541,0.023,15.154,0.177,0.444,0.039,0.677,-1.122,4.609
-4.3,1.101,-4.59,0.0,0.0,0.318,0.153,7.207,0.006,0.447,0.439,1291.786,1.0,9.319,4.721,-0.012,-0.001,-0.0,-27.153,0.075,15.161,0.179,0.451,0.04,0.678,-1.101,4.59
-4.2,1.077,-4.519,0.0,0.0,0.33,0.154,7.208,0.006,0.449,0.443,1318.938,1.0,9.314,4.646,-0.01,-0.002,-0.0,-7.184,0.041,15.184,0.182,0.457,0.041,0.679,-1.077,4.519
-4.1,1.074,-4.478,0.0,0.0,0.339,0.154,7.21,0.006,0.449,0.443,1326.122,1.0,9.31,4.605,-0.006,0.002,-0.0,-3.699,0.066,15.225,0.184,0.464,0.042,0.681,-1.074,4.478
-4.0,1.046,-4.417,0.0,0.0,0.345,0.154,7.208,0.006,0.449,0.443,1329.821,1.0,9.31,4.539,0.03,0.0,0.0,35.691,-0.665,15.271,0.185,0.471,0.043,0.682,-1.046,4.417
-3.9,0.954,-5.115,0.0,0.0,0.315,0.152,7.208,0.006,0.445,0.439,1294.13,1.0,9.313,5.204,0.008,0.001,-0.0,-2.663,0.045,15.355,0.188,0.479,0.044,0.682,-0.954,5.115
-3.8,0.986,-5.064,0.0,0.0,0.307,0.153,7.208,0.006,0.447,0.443,1296.794,1.0,9.314,5.159,0.008,0.0,-0.0,-8.21,0.128,15.387,0.19,0.486,0.046,0.683,-0.986,5.064
-3.7,0.966,-4.937,0.0,0.0,0.299,0.153,7.207,0.006,0.447,0.443,1305.004,1.0,9.313,5.031,0.014,-0.001,-0.0,-17.525,0.103,15.434,0.192,0.494,0.047,0.684,-0.966,4.937
-3.6,0.985,-4.829,0.0,0.0,0.284,0.154,7.208,0.006,0.451,0.443,1322.529,1.0,9.313,4.928,-0.101,0.0,0.0,51.12,1.372,15.443,0.193,0.501,0.048,0.685,-0.985,4.829
-3.5,0.365,-3.538,0.0,0.0,0.385,0.152,7.208,0.006,0.443,0.439,1271.409,1.0,9.311,3.556,-0.001,-0.001,-0.0,-30.057,0.042,15.564,0.197,0.51,0.05,0.686,-0.365,3.538
-3.4,0.395,-3.492,0.0,0.0,0.386,0.154,7.209,0.006,0.449,0.439,1301.466,1.0,9.309,3.514,-0.021,0.001,-0.0,-17.373,-0.46,15.568,0.198,0.518,0.052,0.687,-0.395,3.492
-3.3,0.808,-3.891,0.0,0.0,0.408,0.154,7.208,0.006,0.449,0.443,1318.84,1.0,9.306,3.974,-0.002,-0.0,-0.0,-7.9,0.091,15.624,0.202,0.527,0.053,0.689,-0.808,3.891
-3.2,0.772,-3.806,0.0,0.0,0.41,0.154,7.208,0.006,0.449,0.443,1326.74,1.0,9.306,3.883,-0.01,0.001,0.0,10.214,0.091,15.685,0.205,0.536,0.055,0.69,-0.772,3.806
-3.1,0.758,-3.716,0.0,0.0,0.42,0.154,7.208,0.006,0.449,0.443,1316.526,1.0,9.308,3.793,-0.02,-0.001,0.0,14.615,0.664,15.757,0.21,0.546,0.057,0.692,-0.758,3.716
-3.0,0.328,-3.111,0.0,0.0,0.44,0.154,7.208,0.006,0.449,0.443,1301.91,1.0,9.312,3.128,-0.009,-0.0,-0.0,-8.747,-0.101,15.831,0.214,0.556,0.059,0.693,-0.328,3.111
-2.9,0.897,-3.102,0.0,0.0,0.45,0.154,7.208,0.006,0.449,0.443,1310.657,1.0,9.311,3.229,-0.013,-0.002,0.0,-13.851,0.115,15.908,0.219,0.566,0.062,0.695,-0.897,3.102
-2.8,0.833,-3.0,0.0,0.0,0.463,0.153,7.21,0.006,0.447,0.443,1324.508,1.0,9.308,3.114,-0.017,0.002,-0.0,4.953,0.092,16.0,0.226,0.577,0.064,0.697,-0.833,3.0
-2.7,0.783,-2.918,0.0,0.0,0.48,0.154,7.208,0.006,0.449,0.443,1319.554,1.0,9.311,3.022,-0.005,-0.0,0.0,20.48,0.082,16.072,0.232,0.587,0.067,0.699,-0.783,2.918
-2.6,0.749,-2.843,0.0,0.0,0.485,0.154,7.209,0.006,0.449,0.443,1299.075,1.0,9.315,2.94,-0.004,-0.0,0.0,-7.25,0.102,16.167,0.239,0.598,0.07,0.701,-0.749,2.843
-2.5,0.658,-2.76,0.0,0.0,0.489,0.153,7.209,0.006,0.447,0.443,1306.325,1.0,9.311,2.838,-0.009,-0.0,-0.0,-22.422,0.078,16.27,0.247,0.61,0.073,0.703,-0.658,2.76
-2.4,0.611,-2.691,0.0,0.0,0.498,0.153,7.209,0.006,0.447,0.443,1328.747,1.0,9.306,2.759,-0.009,-0.0,0.0,6.883,0.095,16.363,0.255,0.622,0.076,0.706,-0.611,2.691
-2.3,0.564,-2.604,0.0,0.0,0.507,0.153,7.209,0.006,0.445,0.439,1321.864,1.0,9.307,2.664,-0.015,0.002,-0.0,22.975,0.084,16.483,0.265,0.636,0.08,0.709,-0.564,2.604
-2.2,0.535,-2.525,0.0,0.0,0.522,0.154,7.207,0.006,0.449,0.443,1298.889,1.0,9.318,2.581,-0.013,-0.0,0.0,35.348,0.078,16.571,0.275,0.649,0.084,0.713,-0.535,2.525
-2.1,0.523,-2.447,0.0,0.0,0.535,0.152,7.207,0.006,0.444,0.439,1263.541,1.0,9.32,2.503,-0.099,-0.002,-0.0,-43.42,0.715,16.737,0.285,0.663,0.089,0.716,-0.523,2.447
-2.0,0.196,-1.777,0.0,0.0,0.634,0.153,7.209,0.006,0.447,0.443,1306.961,1.0,9.315,1.788,-0.02,-0.0,0.0,9.921,0.114,16.823,0.296,0.677,0.094,0.718,-0.196,1.777
-1.9,0.172,-1.665,0.0,0.0,0.654,0.152,7.21,0.006,0.444,0.439,1297.04,1.0,9.309,1.674,-0.023,0.002,-0.0,-13.315,0.118,16.984,0.309,0.692,0.099,0.722,-0.172,1.665
-1.8,0.124,-1.551,0.0,0.0,0.677,0.154,7.208,0.006,0.451,0.447,1310.355,1.0,9.319,1.556,-0.018,0.001,0.0,52.435,0.086,17.076,0.323,0.707,0.105,0.726,-0.124,1.551
-1.7,0.103,-1.466,0.0,0.0,0.695,0.152,7.206,0.006,0.446,0.435,1257.919,1.0,9.328,1.47,-0.018,-0.001,-0.0,-56.107,0.123,17.301,0.34,0.723,0.112,0.731,-0.103,1.466
-1.6,0.07,-1.345,0.0,0.0,0.714,0.154,7.207,0.006,0.451,0.447,1314.026,1.0,9.321,1.347,-0.027,-0.002,0.0,-23.39,0.084,17.421,0.357,0.739,0.118,0.736,-0.07,1.345
-1.5,0.07,-1.261,0.0,0.0,0.741,0.153,7.209,0.006,0.447,0.443,1337.416,1.0,9.308,1.263,-0.022,-0.0,-0.0,5.585,0.095,17.639,0.376,0.756,0.127,0.741,-0.07,1.261
-1.4,0.047,-1.167,0.0,0.0,0.763,0.153,7.21,0.006,0.448,0.443,1331.831,1.0,9.309,1.168,-0.132,0.003,0.0,60.904,0.408,17.864,0.398,0.775,0.136,0.747,-0.047,1.167
-1.3,-0.047,-0.759,0.0,0.0,0.895,0.154,7.206,0.006,0.449,0.443,1270.927,1.0,9.329,0.76,-0.009,0.003,-0.0,-10.655,0.071,18.13,0.424,0.793,0.147,0.755,0.047,0.759
-1.2,-0.036,-0.688,0.0,0.0,0.905,0.154,7.204,0.006,0.451,0.447,1281.583,1.0,9.332,0.689,-0.011,-0.004,-0.0,-36.116,0.056,18.398,0.451,0.812,0.158,0.763,0.036,0.688
-1.1,-0.028,-0.632,0.0,0.0,0.916,0.154,7.207,0.006,0.449,0.443,1317.698,1.0,9.315,0.633,-0.002,-0.004,-0.0,-47.842,0.181,18.728,0.48,0.831,0.172,0.772,0.028,0.632
-1.0,0.002,-0.451,0.0,0.0,0.917,0.154,7.212,0.006,0.449,0.443,1365.54,1.0,9.304,0.451,-0.01,0.004,0.0,75.95,0.043,19.085,0.513,0.851,0.188,0.783,-0.002,0.451
-0.9,0.004,-0.408,0.0,0.0,0.927,0.153,7.208,0.006,0.448,0.443,1289.59,1.0,9.327,0.408,-0.008,0.002,0.0,66.981,0.046,19.599,0.553,0.872,0.208,0.795,-0.004,0.408
-0.8,0.007,-0.362,0.0,0.0,0.935,0.153,7.206,0.006,0.448,0.439,1222.608,1.0,9.345,0.362,-0.017,-0.002,-0.0,-76.889,0.036,20.204,0.597,0.892,0.231,0.81,-0.007,0.362
-0.7,0.018,-0.326,0.0,0.0,0.952,0.154,7.208,0.006,0.449,0.439,1299.497,1.0,9.323,0.326,-0.018,-0.004,-0.0,-103.87,0.038,20.792,0.64,0.911,0.255,0.826,-0.018,0.326
-0.6,0.021,-0.288,0.0,0.0,0.97,0.154,7.212,0.006,0.448,0.443,1403.367,1.0,9.289,0.289,-0.008,-0.002,-0.0,-17.715,0.036,21.486,0.686,0.928,0.286,0.844,-0.021,0.288
-0.5,0.031,-0.251,0.0,0.0,0.978,0.154,7.214,0.006,0.449,0.443,1421.082,1.0,9.286,0.253,-0.007,0.01,0.0,235.51,0.065,22.406,0.739,0.946,0.327,0.865,-0.031,0.251
-0.4,0.027,-0.186,0.0,0.0,0.984,0.153,7.205,0.006,0.45,0.443,1185.572,1.0,9.361,0.188,-0.007,0.004,-0.0,25.696,0.035,24.034,0.809,0.964,0.386,0.891,-0.027,0.186
-0.3,0.032,-0.149,0.0,0.0,0.991,0.154,7.201,0.006,0.453,0.443,1159.876,1.0,9.38,0.153,0.003,-0.01,-0.0,-241.385,0.048,26.129,0.877,0.978,0.459,0.922,-0.032,0.149
-0.2,0.015,-0.104,0.0,0.0,0.988,0.154,7.211,0.006,0.451,0.447,1401.261,1.0,9.314,0.105,-0.005,-0.024,-0.001,-587.683,0.041,29.128,0.933,0.99,0.555,0.953,-0.015,0.104
-0.1,0.015,-0.062,0.0,0.0,0.993,0.156,7.235,0.007,0.448,0.443,1988.944,1.0,9.157,0.063,0.689,0.038,0.001,698.03,-5.256,34.016,0.973,0.997,0.689,0.982,-0.015,0.062
0.0,0.0,0.0,0.0,0.0,1.0,0.16,7.241,0.008,0.446,0.439,3041.657,1.0,8.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.1,-0.002,0.042,0.0,0.0,0.993,0.155,7.234,0.007,0.444,0.439,1948.949,1.0,9.157,0.042,-0.007,-0.007,-0.001,-1092.708,0.042,33.916,0.973,0.996,0.69,0.98,0.002,-0.042
0.2,0.0,0.086,0.0,0.0,0.988,0.153,7.211,0.006,0.446,0.439,1369.16,1.0,9.315,0.086,-0.005,-0.023,-0.001,-579.788,0.044,29.198,0.931,0.989,0.558,0.952,0.0,-0.086
0.3,0.004,0.126,0.0,0.0,0.985,0.151,7.199,0.005,0.444,0.435,1115.649,1.0,9.383,0.126,-0.003,-0.012,-0.0,-253.511,0.04,26.232,0.875,0.978,0.463,0.92,-0.004,-0.126
0.4,-0.0,0.163,0.0,0.0,0.984,0.151,7.203,0.005,0.444,0.439,1154.708,1.0,9.365,0.163,-0.001,0.004,0.0,39.059,0.037,24.077,0.809,0.964,0.388,0.89,0.0,-0.163
0.5,-0.006,0.213,0.0,0.0,0.986,0.152,7.215,0.006,0.444,0.439,1385.79,1.0,9.291,0.213,0.002,0.012,0.0,231.082,0.05,22.458,0.739,0.946,0.328,0.864,0.006,-0.213
0.6,-0.003,0.267,0.0,0.0,0.975,0.154,7.214,0.006,0.45,0.443,1411.379,1.0,9.293,0.267,-0.01,-0.002,0.0,25.589,0.054,21.479,0.686,0.929,0.285,0.844,0.003,-0.267
0.7,0.004,0.316,0.0,0.0,0.963,0.154,7.209,0.006,0.45,0.439,1289.504,1.0,9.328,0.316,-0.012,-0.005,-0.0,-121.875,0.049,20.81,0.641,0.912,0.255,0.825,-0.004,-0.316
0.8,0.001,0.354,0.0,0.0,0.949,0.152,7.207,0.006,0.446,0.435,1202.001,1.0,9.351,0.354,-0.015,-0.002,-0.0,-87.503,0.038,20.24,0.597,0.893,0.231,0.808,-0.001,-0.354
0.9,0.01,0.404,0.0,0.0,0.933,0.153,7.21,0.006,0.448,0.443,1289.384,1.0,9.331,0.404,-0.016,0.003,0.0,87.383,0.049,19.623,0.554,0.874,0.208,0.794,-0.01,-0.404
1.0,0.015,0.526,0.0,0.0,0.933,0.153,7.212,0.006,0.446,0.439,1338.459,1.0,9.313,0.526,0.0,0.002,0.0,49.075,0.123,19.143,0.514,0.853,0.188,0.782,-0.015,-0.526
1.1,0.029,0.593,0.0,0.0,0.92,0.154,7.207,0.006,0.45,0.443,1306.772,1.0,9.326,0.594,-0.013,-0.005,0.0,-31.687,0.068,18.757,0.481,0.833,0.172,0.772,-0.029,-0.593
1.2,0.043,0.663,0.0,0.0,0.916,0.154,7.203,0.006,0.452,0.447,1272.541,1.0,9.343,0.664,-0.003,-0.004,-0.0,-34.232,0.07,18.432,0.452,0.814,0.158,0.763,-0.043,-0.663
1.3,0.06,0.732,0.0,0.0,0.894,0.153,7.206,0.006,0.45,0.443,1265.642,1.0,9.339,0.734,-0.022,0.002,-0.0,-6.899,0.07,18.164,0.424,0.795,0.147,0.755,-0.06,-0.732
1.4,0.011,1.135,0.0,0.0,0.76,0.152,7.209,0.006,0.444,0.439,1291.734,1.0,9.324,1.135,-0.134,0.003,-0.0,26.092,0.401,17.936,0.399,0.777,0.137,0.748,-0.011,-1.135
1.5,-0.0,1.21,0.0,0.0,0.736,0.153,7.211,0.006,0.448,0.443,1329.685,1.0,9.326,1.21,-0.024,0.002,0.0,37.951,0.075,17.684,0.377,0.759,0.127,0.741,0.0,-1.21
1.6,-0.003,1.301,0.0,0.0,0.718,0.154,7.208,0.006,0.452,0.447,1308.097,1.0,9.341,1.301,-0.017,-0.003,0.0,-21.588,0.091,17.468,0.359,0.742,0.119,0.736,0.003,-1.301
1.7,-0.023,1.403,0.0,0.0,0.693,0.153,7.206,0.006,0.448,0.443,1254.31,1.0,9.349,1.404,-0.025,-0.002,-0.0,-53.787,0.103,17.336,0.341,0.725,0.112,0.73,0.023,-1.403
1.8,-0.049,1.519,0.0,0.0,0.673,0.154,7.207,0.006,0.452,0.447,1301.858,1.0,9.342,1.519,-0.02,0.001,0.0,47.548,0.116,17.126,0.325,0.71,0.105,0.726,0.049,-1.519
1.9,-0.069,1.639,0.0,0.0,0.66,0.154,7.208,0.006,0.45,0.443,1329.498,1.0,9.331,1.641,-0.013,0.001,0.0,27.64,0.121,16.988,0.31,0.694,0.099,0.722,0.069,-1.639
2.0,-0.099,1.774,0.0,0.0,0.645,0.152,7.208,0.006,0.444,0.439,1286.625,1.0,9.338,1.777,-0.015,-0.001,-0.0,-42.873,0.136,16.91,0.298,0.68,0.094,0.718,0.099,-1.774
2.1,-0.118,2.339,0.0,0.0,0.536,0.151,7.204,0.006,0.443,0.435,1242.911,1.0,9.351,2.342,-0.109,-0.003,-0.0,-43.713,0.565,16.813,0.288,0.665,0.089,0.715,0.118,-2.339
2.2,-0.143,2.427,0.0,0.0,0.536,0.15,7.204,0.005,0.439,0.435,1215.739,1.0,9.354,2.431,-0.0,-0.0,-0.0,-27.173,0.089,16.725,0.278,0.652,0.085,0.712,0.143,-2.427
2.3,-0.162,2.515,0.0,0.0,0.528,0.152,7.206,0.006,0.446,0.439,1289.482,1.0,9.347,2.52,-0.008,0.002,0.0,73.743,0.089,16.554,0.267,0.637,0.08,0.709,0.162,-2.515
2.4,-0.634,2.704,0.0,0.0,0.511,0.151,7.206,0.006,0.443,0.431,1274.914,1.0,9.345,2.777,-0.018,0.0,-0.0,-14.567,0.257,16.479,0.258,0.624,0.077,0.706,0.634,-2.704
2.5,-0.652,2.812,0.0,0.0,0.506,0.152,7.205,0.006,0.446,0.439,1282.148,1.0,9.356,2.886,-0.005,-0.001,0.0,7.234,0.11,16.359,0.249,0.611,0.073,0.704,0.652,-2.812
2.6,-0.215,2.763,0.0,0.0,0.512,0.153,7.204,0.006,0.45,0.443,1291.978,1.0,9.364,2.771,0.006,-0.001,0.0,9.83,-0.115,16.24,0.241,0.599,0.07,0.702,0.215,-2.763
2.7,-0.224,2.859,0.0,0.0,0.497,0.152,7.205,0.006,0.448,0.443,1300.748,1.0,9.366,2.868,-0.015,0.001,-0.0,8.769,0.097,16.169,0.235,0.588,0.067,0.699,0.224,-2.859
2.8,-0.232,2.94,0.0,0.0,0.481,0.151,7.206,0.006,0.445,0.439,1292.068,1.0,9.365,2.949,-0.015,0.002,-0.0,-8.68,0.081,16.115,0.228,0.577,0.065,0.697,0.232,-2.94
2.9,-0.547,3.478,0.0,0.0,0.431,0.152,7.205,0.006,0.448,0.443,1305.579,1.0,9.371,3.521,-0.05,-0.002,0.0,13.511,0.572,16.006,0.222,0.566,0.062,0.695,0.547,-3.478
3.0,-0.617,3.583,0.0,0.0,0.427,0.153,7.203,0.006,0.45,0.439,1307.391,1.0,9.374,3.636,-0.004,-0.002,0.0,1.812,0.115,15.916,0.216,0.555,0.059,0.694,0.617,-3.583
3.1,-0.264,3.279,0.0,0.0,0.439,0.153,7.202,0.006,0.45,0.443,1307.751,1.0,9.377,3.289,0.011,-0.001,-0.0,0.36,-0.347,15.845,0.212,0.546,0.057,0.693,0.264,-3.279
3.2,-0.68,3.741,0.0,0.0,0.422,0.153,7.202,0.006,0.45,0.443,1325.336,1.0,9.374,3.803,-0.017,0.0,0.0,17.585,0.513,15.773,0.207,0.536,0.055,0.691,0.68,-3.741
3.3,-0.248,3.522,0.0,0.0,0.406,0.151,7.202,0.006,0.445,0.439,1279.285,1.0,9.378,3.53,-0.016,0.0,-0.0,-46.052,-0.272,15.762,0.203,0.528,0.054,0.69,0.248,-3.522
3.4,-0.264,3.596,0.0,0.0,0.39,0.153,7.203,0.006,0.452,0.443,1318.816,1.0,9.384,3.606,-0.016,0.0,0.0,39.531,0.075,15.635,0.198,0.518,0.052,0.688,0.264,-3.596
